DepVar,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
Mktrf,0.39134189198743163,0,0.7861611368002432,0.1934006992625409,0.02176022583028823,0.11159826597276783
SMB,0.8942610181966414,0.7861611368002461,0.0,0.01458509591412666,0.9962433453740315,0.0889380189522555
HML,0.28640993444749535,0.19340069926254222,0.014585095914126696,0.0,0.0021121902246903006,9.623693823120477e-06
RMW,0.7665700829837949,0.02176022583028823,0.9962433453740309,0.0021121902246903066,0.0,0.00017997007480102337
SMB,0.5817134849926118,0.11159826597276798,0.08893801895225566,9.623693823120477e-06,0.00017997007480102366,0.0
