Size,BM,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1,1,0.014534841558068744,0.9681163684873221,1.0471072811963418,-1.1687626699215061,0.6516865196061391,1.235100087204012,0.9337918565269967
1,2,-0.0017775117640721461,1.0879592047584965,0.6368518706369547,-1.0512844075741743,0.39214883002570344,0.9324275040962884,0.9727177142244128
1,3,-0.014674478998539015,0.9227561319727303,0.4999588640640331,-0.014018400062491165,-0.5359565766839983,-0.34395850023189256,0.9555673339821229
1,4,-0.011564378301730195,0.8706576759034942,0.1374044327815909,-0.2952047867537048,-1.043424364923267,-0.636440162824944,0.9370133007322057
1,5,0.009791517370097069,1.04421329164281,-0.7557534007925539,-1.8056356131752083,0.12921525329575506,0.09337642155094004,0.9668581086265103
2,1,0.001301358824385217,1.019935259423924,1.0297107114824344,-0.22230546242197977,-0.0014610950825146019,0.22984840259099942,0.9666958911606487
2,2,-0.001562825724261147,1.005233950570871,0.8878722772626302,-0.10974549759720656,-0.2693626542150742,-0.13798773869454575,0.9513812930513985
2,3,-0.013091707406794093,0.963255571400729,0.5577740867194441,0.29680601218747665,-0.8387531919755845,-0.7380205580525678,0.9175720819383668
2,4,-0.003711412168159265,0.6672901149672591,0.19130066007803911,0.20933547450247997,-1.143356763840537,-0.8732586232199872,0.9409843631103568
2,5,0.015998294204902244,0.624297849480109,0.03222247466295128,-0.5529560401740992,0.11344944476331689,-0.3530759879434112,0.6155980269993241
3,1,0.0014483241083914312,1.2516419509961862,1.2184211034118309,-0.5090693904862247,0.6859912763066434,0.5486435134494632,0.9656559991972173
3,2,-0.0031259098002078167,0.8548977149621705,0.504242855805052,-0.21513908020816608,-0.3345953526506935,0.18828204272226456,0.9516834209100798
3,3,-0.0029757313336657852,0.8509971866003759,0.524702975123416,0.1742375611375588,-0.6139212027214664,-0.5543185411280311,0.9508443587778707
3,4,-0.00446704516916962,0.7710842037020366,0.2795291811226658,0.2956633012856902,-0.9959567796623504,-0.8095014880961753,0.895164443662088
3,5,0.0031315004618604086,0.99940467198872,-0.41473266770850603,-0.5405752709760452,-0.37991746369571694,-0.2893691086442885,0.8640887431386303
4,1,0.0018167603828119494,1.0823392644165426,1.0147401672059815,0.03381029890568035,-0.1306140042898698,-0.19832772109172636,0.9735518336549658
4,2,0.0046143080643024775,0.9864263626222683,0.9010967084382757,0.053113908447663394,-0.12450880534611991,-0.20142393932052696,0.9579576482541868
4,3,-0.0018619851050481928,0.9137716034267169,0.5630632897284105,0.0399623760123943,-0.2379417125114845,0.012307910839919112,0.9419976474419017
4,4,-0.003434406461509568,0.9190570012919409,0.3626006909197138,0.4434386634732872,-0.7310599938226743,-0.6295760310861357,0.8670617288985553
4,5,-0.0015800268972225736,1.042472176735278,-0.19312760848275,0.05973185071001632,-0.12583967789760198,-0.2967465727846467,0.7539385072628244
5,1,0.006382709188480906,1.0070731626739378,1.013932938333013,-0.20409897101134483,0.12229599027524785,0.08768147109523203,0.9368022744045926
5,2,0.008316680378709444,0.8476067248575232,0.6020846271382332,0.08220369288533637,-0.6628788224748802,-0.2933109234070945,0.9130632213123568
5,3,0.0013897316332077674,0.8869995189918851,0.4364694510352057,0.13950307962782016,-0.2549581819304053,0.33731726918266897,0.9351764307895388
5,4,0.0013029041671908997,0.7694462971762425,0.19220967795753907,1.1115937009813117,-1.3788897353451912,-0.7299532841307739,0.9034238076161014
5,5,-0.0021368146814448328,1.0675869708301557,-0.2787747537217981,0.2966072372831744,0.40258289641823386,0.511920298354734,0.9782538443843273
