Size,OP,Const_t,Mktrf_t,SMB_t,HML_t,RMW_t,CMA_t
1,1,2.904795358719393,5.337041763390913,4.17681971716431,-2.5304623637415236,1.579767452249716,2.551897179041756
1,2,-0.6582837464578949,11.11427293321854,4.707478964734993,-4.217831073188374,1.7615734511956758,3.570027022552142
1,3,-5.105734996671467,8.85625916162959,3.4719955688347928,-0.05283994283603618,-2.2619050363469753,-1.2372498357463837
1,4,-2.895937210083383,6.014258386211836,0.6867788394237802,-0.8008636032594496,-3.169399674906527,-1.647707841937411
1,5,3.5934867418704424,10.571170154964664,-5.535992194284539,-7.179008548953075,0.5752134278771931,0.3542901303384935
2,1,0.42976400758263145,9.291233689093799,6.787307427486165,-0.7953374345882096,-0.00585275901924168,0.7847480563830973
2,2,-0.4407956103061381,7.820988654767394,4.998348307452255,-0.3353371987912091,-0.9215380607726542,-0.4023675853559878
2,3,-3.05878507651428,6.20814711616599,2.601119570872751,0.7512658997333888,-2.3770375504873114,-1.7826944447472777
2,4,-1.19960014367908,5.9494909931969255,1.2341362279204968,0.733007576191719,-4.4825822946866944,-2.9180718704669637
2,5,2.4653679421973447,2.6537970222161595,0.09910972406401769,-0.9231387515372599,0.21206042349220644,-0.5625123058138398
3,1,0.46356672940230925,11.050817528153091,7.783827845804815,-1.765191362408403,2.6632643515301013,1.8154844238515764
3,2,-1.0413428263292503,7.855959610392002,3.3527899967002077,-0.7764346447090998,-1.3520301499211391,0.6484581730049255
3,3,-1.0519472565374464,8.298434487875143,3.702227349886696,0.6672834309981063,-2.6324617180886456,-2.0258880003786657
3,4,-1.0679165659692436,5.084948796600698,1.3338083830125629,0.7657424294286049,-2.8880629568133127,-2.000738873866656
3,5,0.6760248274700708,5.951402723935877,-1.787013041461948,-1.2642549159210588,-0.9948293909708585,-0.6458298466775387
4,1,0.7139498280670799,11.732788836909377,7.959287732743971,0.14394194380261807,-0.6225997913286749,-0.8057665667678846
4,2,1.597891076395105,9.422649877717205,6.2281820651077435,0.19925863760450674,-0.5229857262607178,-0.7211198498264114
4,3,-0.6259122245536332,8.473106927922593,3.7778416942810606,0.14553144565514847,-0.9701904569766368,0.0427737524975856
4,4,-0.7485426799992222,5.525545013197851,1.5774035477808452,1.0470483632514278,-1.9327117097501136,-1.4186290210823214
4,5,-0.2657886244906853,4.837312897419325,-0.6484337078038552,0.10885445076563782,-0.2567666954094304,-0.5160756886256411
5,1,1.654672210983735,7.201711785153981,5.246449034476958,-0.5732130135145265,0.38456372713070636,0.2350014397456678
5,2,1.9070164405005,5.361256894660049,2.755568904567221,0.20420391509569885,-1.8436893824263052,-0.6953259573701475
5,3,0.44859357336083017,7.89793012166843,2.812064433670858,0.48783640872698325,-0.9982521225881412,1.1256839127389409
5,4,0.31582582811115084,5.144951470235455,0.9299502859081334,2.919103932350986,-4.054281441344066,-1.829304558803207
5,5,-1.217790936008738,16.78328391557568,-3.1710904517281087,1.8312849761779766,2.782981906320562,3.0162268943185833
