Size,OP,Const_t,Mktrf_t,SMB_t,HML_t,RMW_t,CMA_t
1,1,2.621612030957094,7.7760921889059516,5.632249503416253,-1.8148157956851383,0.7831592373928463,2.3296370840907015
1,2,2.0032185294887603,10.145896906029323,8.372148185938828,-0.3206526472844699,-1.542886003411359,0.16018311104067548
1,3,-2.4433139977597538,8.95833024106654,3.3155400974512,0.4612398555300169,-1.8898867695245554,0.15456749214378132
1,4,0.2714595970667607,6.272595852774348,1.6566633760940341,0.8882586683046604,-2.9490157186956623,-0.43851540925563537
1,5,-1.5547244350878222,6.853777198274695,-0.41435791809277905,0.7627425451425511,-1.0336173724623308,0.3494203064594139
2,1,2.636400318038586,12.128080931720945,9.052243942598617,-3.099099132149884,2.331909762502254,3.526287108913544
2,2,0.44156873370381255,6.5614838166245075,1.3092677449935544,-0.6647683599319243,-1.9808986149062995,1.019209873639047
2,3,-1.2591811874835848,8.224511835431377,2.950994330024536,0.7140734695754859,-3.103943534809899,-0.6681795765175909
2,4,-2.6425964277357665,5.7152328959375485,0.7716459035467549,1.8359332615153536,-4.027205071133933,-2.217794954558762
2,5,-0.24469604263736838,6.640456147141301,-2.7930752395422114,-0.5305403815008309,0.9966431368635637,2.920000779254697
3,1,2.3118212612985563,10.964100660828668,9.003477868116239,-0.7566753595313089,0.6442164570199839,0.21704482420989948
3,2,-0.6411116317031116,8.810847942965733,4.509642040195382,-0.9352138240042955,-0.38486164346690277,0.5506224489381124
3,3,-1.530195076215019,7.43085018957418,2.8683757215681314,0.07796547007314326,-1.2470785288409842,-0.5958628131456137
3,4,-2.0036043552189984,7.160170457993076,1.3535695711315077,1.123340359991649,-4.589973786333201,-2.481680934194861
3,5,0.21051916263757922,12.28795966687523,-1.9440708994057219,0.9174057801435902,1.4414624816943842,1.0958337794910575
4,1,2.065060289159348,8.897593769918663,4.853203631219099,-1.8207551429748248,1.339297049149545,0.8326524679021673
4,2,0.7716040470567799,10.949153351514775,6.7262316059365626,-1.26588771638565,0.1809412923913962,0.28492601405565043
4,3,-2.1875205018400417,9.416671397941268,3.783838511739422,-1.2736095212726488,-0.42756266369155943,-0.19951711739279718
4,4,-0.6007873740071913,7.825007509315098,1.5514148614928147,0.5872772604725821,-2.9594573658477046,-2.173628728845845
4,5,2.0272976491317216,7.942395696767837,-2.2924598404434784,-1.034178191363073,1.344231606738151,0.6805821681683524
5,1,-1.1696270655905388,10.616505317790857,8.56653988479712,0.17161360087584024,-0.060172643171883256,-1.741516740694537
5,2,-1.4255752013594958,7.590322636748249,4.047128562633512,-0.5908811364753359,-0.2706264851038378,-1.3692772198048466
5,3,-2.8852474329329185,6.220211782158536,3.717407692574427,1.9900277354748843,-3.026519639536865,-3.3751233410269577
5,4,-3.116472584851301,8.5474756213317,1.3907806773656917,0.8077259801268178,-5.931028427970117,-4.842026954173818
5,5,0.27722915611668536,8.334545213968248,-0.9806041536561518,-1.2671381081330766,0.5831013652687903,-1.6499218933789237
