Size,Inv,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1,1,0.021121352027374096,3.047031060413003e-06,8.16960370774005e-05,0.09268440681545966,0.4475667445634268,0.03658755858234774
1,2,0.06645615177981808,1.520517463279564e-07,1.3545767865596192e-06,0.7535697290367172,0.14684369371165693,0.8751990450855904
1,3,0.029582227399219795,6.346055766747502e-07,0.005578429854192494,0.6522487547401487,0.08127693653782056,0.8795362224698146
1,4,0.7903005210863996,2.866733131088479e-05,0.12151148086260322,0.3905409219204199,0.01129319159729378,0.668211877130088
1,5,0.14401171602936302,1.1636476397571052e-05,0.6853675924109506,0.45923430296473877,0.32016135027662485,0.7323690291511815
2,1,0.020536055291419688,1.83969720979554e-08,5.639314623933273e-07,0.008461428654238627,0.036433158453483376,0.0037217005320682524
2,2,0.6660570075772185,1.820821011079526e-05,0.2131130469318648,0.5178180526306405,0.06916288184728556,0.3266970539139098
2,3,0.23010532983727963,1.6494575886710324e-06,0.011250337917334782,0.487805527385641,0.00838289253513434,0.515707641132688
2,4,0.02029554212586622,7.109847636092562e-05,0.4541229814218921,0.08933796551812216,0.0014366207507944444,0.04500104568780183
2,5,0.8105117063149266,1.6115365038680203e-05,0.01523023944814114,0.6046823922633878,0.3371279052450217,0.011940487594775933
3,1,0.03781966108799927,6.122788848819325e-08,5.995194569838176e-07,0.4627379868549225,0.5306380261208848,0.8315426029075714
3,2,0.5325903489220037,7.653148409425283e-07,0.000586846437791414,0.36672602265116194,0.7065626410004693,0.591229403086481
3,3,0.1499323475532939,4.9686965854836e-06,0.013184129846669926,0.9390427777333918,0.23436912051029676,0.5614984343240539
3,4,0.06641023120682868,7.366682139818357e-06,0.19894081209970188,0.28161023567088167,0.0005068559904484418,0.02752275614375797
3,5,0.8365262961985389,1.5716183381499754e-08,0.07385087090559146,0.3756365050709558,0.17310705517045447,0.2930378229134801
4,1,0.059458187920067046,6.852977565812203e-07,0.00031534153276299893,0.09173201308360955,0.20342028455565414,0.42007498537620946
4,2,0.454146926575443,6.222264683485889e-08,1.4127279202959626e-05,0.22776929514486638,0.859204121028394,0.7801893618395486
4,3,0.04757477281897655,3.5970678196433023e-07,0.002276170570962965,0.22510306617302162,0.6759668189216596,0.8449451729956231
4,4,0.5583114591963056,2.84642232709044e-06,0.1447986788304057,0.5670781066791722,0.01106885217553541,0.04880147187406865
4,5,0.06364563589467462,2.42006058782924e-06,0.03920330098828214,0.3199088906757944,0.20186235289517637,0.508076796035718
5,1,0.2631491764277364,8.94883102261673e-08,1.0490554394574523e-06,0.8663838991162962,0.9529333410127536,0.10518801480691435
5,2,0.17755842779163872,3.95690083875728e-06,0.0013838185105281362,0.5647323621894369,0.790927378034778,0.19410444732898624
5,3,0.012764235089567125,3.116477828785594e-05,0.0025829111596097232,0.06804378416498716,0.00972973620142811,0.004974544416434591
5,4,0.008183130715839685,1.0754852017902317e-06,0.1876404880029353,0.4337798967442531,4.976244777403331e-05,0.0003217024939043775
5,5,0.7859635306198645,1.423928446881812e-06,0.3446857433487869,0.22733585233924633,0.5698026956117468,0.12289888524579494
