date,row_type,row_count,col_type,col_count,ExcessReturn
2017-07,Inv,1,Size,1,-0.0019401069787749398
2017-08,Inv,1,Size,1,0.027918376150080946
2017-09,Inv,1,Size,1,0.004908297995399823
2017-10,Inv,1,Size,1,-0.03294054538302146
2017-11,Inv,1,Size,1,-0.07616727274535412
2017-12,Inv,1,Size,1,-0.022103366674704413
2018-01,Inv,1,Size,1,-0.05510793826331315
2017-07,Inv,2,Size,1,-0.006828786714352476
2017-08,Inv,2,Size,1,0.024249783424683348
2017-09,Inv,2,Size,1,0.0063412462400745636
2017-10,Inv,2,Size,1,-0.03316970101508709
2017-11,Inv,2,Size,1,-0.07994209964838088
2017-12,Inv,2,Size,1,-0.022553814534075144
2018-01,Inv,2,Size,1,-0.0486084417842684
2017-07,Inv,3,Size,1,-0.015340421095758835
2017-08,Inv,3,Size,1,0.03543660949885618
2017-09,Inv,3,Size,1,0.013294595009821327
2017-10,Inv,3,Size,1,-0.030005637293126688
2017-11,Inv,3,Size,1,-0.07714744326081938
2017-12,Inv,3,Size,1,-0.022189408570772062
2018-01,Inv,3,Size,1,-0.03680582267368966
2017-07,Inv,4,Size,1,-0.009335336388585275
2017-08,Inv,4,Size,1,0.036431555591694156
2017-09,Inv,4,Size,1,0.008678247101122008
2017-10,Inv,4,Size,1,0.0014530883141488557
2017-11,Inv,4,Size,1,-0.08809334952440884
2017-12,Inv,4,Size,1,-0.019269639380499526
2018-01,Inv,4,Size,1,-0.029193031399186473
2017-07,Inv,5,Size,1,-0.015393317241404832
2017-08,Inv,5,Size,1,0.03145219036332414
2017-09,Inv,5,Size,1,0.018609569767527503
2017-10,Inv,5,Size,1,-0.01593330640293244
2017-11,Inv,5,Size,1,-0.08907960797507888
2017-12,Inv,5,Size,1,-0.03800031634751875
2018-01,Inv,5,Size,1,-0.036891832027851505
2017-07,Inv,1,Size,2,0.014633614074716689
2017-08,Inv,1,Size,2,0.023508238720554266
2017-09,Inv,1,Size,2,0.000748822397003996
2017-10,Inv,1,Size,2,-0.032068454695386286
2017-11,Inv,1,Size,2,-0.08368715708132467
2017-12,Inv,1,Size,2,-0.01781774904763677
2018-01,Inv,1,Size,2,-0.054455796391297016
2017-07,Inv,2,Size,2,0.04465351907120585
2017-08,Inv,2,Size,2,0.0345468100488265
2017-09,Inv,2,Size,2,0.021557668632289657
2017-10,Inv,2,Size,2,-0.03797147095220395
2017-11,Inv,2,Size,2,-0.02170680429599884
2017-12,Inv,2,Size,2,-0.02868250833077719
2018-01,Inv,2,Size,2,-0.027493047800566384
2017-07,Inv,3,Size,2,0.009352272184512952
2017-08,Inv,3,Size,2,0.01821429666368975
2017-09,Inv,3,Size,2,0.008960847340460893
