date,row_type,row_count,col_type,col_count,ExcessReturn
2016-07,BM,1,Size,1,0.0030460379379599937
2016-08,BM,1,Size,1,0.07321126063591525
2016-09,BM,1,Size,1,0.05550962423194015
2016-10,BM,1,Size,1,0.06142816134746533
2016-11,BM,1,Size,1,0.04822670489635953
2016-12,BM,1,Size,1,0.03472604572082021
2017-01,BM,1,Size,1,-0.04369817153139737
2017-02,BM,1,Size,1,0.03269586333882738
2017-03,BM,1,Size,1,-0.05883386246437129
2017-04,BM,1,Size,1,-0.08107210541667773
2017-05,BM,1,Size,1,-0.1097847772507974
2017-06,BM,1,Size,1,0.038685452557166565
2016-07,BM,2,Size,1,0.0025561544396846014
2016-08,BM,2,Size,1,0.05458469632975446
2016-09,BM,2,Size,1,0.014409048559573867
2016-10,BM,2,Size,1,0.050742762904227086
2016-11,BM,2,Size,1,0.04929669049362597
2016-12,BM,2,Size,1,-0.013751890923828971
2017-01,BM,2,Size,1,-0.029268397037921022
2017-02,BM,2,Size,1,0.049520474146594294
2017-03,BM,2,Size,1,-0.046554527250672655
2017-04,BM,2,Size,1,-0.0786946965927881
2017-05,BM,2,Size,1,-0.09610183110814731
2017-06,BM,2,Size,1,0.036064838875736235
2016-07,BM,3,Size,1,0.012255538289114559
2016-08,BM,3,Size,1,0.06778449542226135
2016-09,BM,3,Size,1,0.019637331020115896
2016-10,BM,3,Size,1,0.043745934427848576
2016-11,BM,3,Size,1,0.05681160671700669
2016-12,BM,3,Size,1,-0.017958840494948797
2017-01,BM,3,Size,1,-0.04514057451332098
2017-02,BM,3,Size,1,0.051913708415230804
2017-03,BM,3,Size,1,-0.033983876376590116
2017-04,BM,3,Size,1,-0.08460504073295053
2017-05,BM,3,Size,1,-0.08226538190560155
2017-06,BM,3,Size,1,0.03087037148082666
2016-07,BM,4,Size,1,-0.011825078483317857
2016-08,BM,4,Size,1,0.07432671090434675
2016-09,BM,4,Size,1,0.011170442787794771
2016-10,BM,4,Size,1,0.047985474134059534
2016-11,BM,4,Size,1,0.035593876250361686
2016-12,BM,4,Size,1,-0.030350986255567126
2017-01,BM,4,Size,1,-0.016996389002556647
2017-02,BM,4,Size,1,0.05803040155944504
2017-03,BM,4,Size,1,-0.021186760199553373
2017-04,BM,4,Size,1,-0.07561318800863283
2017-05,BM,4,Size,1,-0.08366747092704392
2017-06,BM,4,Size,1,0.03960693352488021
2016-07,BM,5,Size,1,-0.005816825593178405
2016-08,BM,5,Size,1,0.06871260592698243
2016-09,BM,5,Size,1,0.01940075877628835
2016-10,BM,5,Size,1,0.06268270441657268
2016-11,BM,5,Size,1,0.015309479148744826
2016-12,BM,5,Size,1,-0.01380233179483537
2017-01,BM,5,Size,1,-0.023588895769133016
2017-02,BM,5,Size,1,0.03906114698501724
2017-03,BM,5,Size,1,0.012368431101575919
2017-04,BM,5,Size,1,-0.0607873129937551
2017-05,BM,5,Size,1,-0.08934701838053286
2017-06,BM,5,Size,1,0.04844625056314696
2016-07,BM,1,Size,2,-0.007918253516815854
2016-08,BM,1,Size,2,0.05919554158122943
2016-09,BM,1,Size,2,0.012386478645352188
2016-10,BM,1,Size,2,0.04466196969400071
2016-11,BM,1,Size,2,0.01580919763343363
2016-12,BM,1,Size,2,-0.018051770423988745
2017-01,BM,1,Size,2,-0.014448733265862627
2017-02,BM,1,Size,2,0.013273395049820209
2017-03,BM,1,Size,2,-0.02416558784497338
