Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
11,2016/6/30,5910285347,3861442709,2048842638,-3421102.04
11,2016/12/31,6654356144,4243059321,2411296823,494699431.5
11,2017/6/30,5937260097,3270441599,2666818498,473274677.4
11,2017/12/31,5393331549,2470775668,2922555881,832705476.1
11,2018/6/30,4599956823,1772806782,2827150041,108338054.6
12,2014/6/30,14796960553,6548007222,8248953331,622510836
12,2014/12/31,15284388305,6770760155,8513628150,810544641
12,2015/6/30,15321775324,7744422276,7577353048,150992628
12,2015/12/31,15657180160,8011708683,7648891477,524830420
12,2016/6/30,16975221410,8994787538,7980433872,493767750
12,2016/12/31,17146815630,9017624611,8129191019,864934254
12,2017/6/30,17930281613,9519353240,8410928373,465370065
12,2017/12/31,19535002368,10755379257,8779623111,980696575
12,2018/6/30,20524811756,11408347706,9116464050,418735977
14,2014/6/30,2129777243,1439652422,690124821.6,40814875.15
14,2014/12/31,2236734317,1513376905,723357411.9,84576010.14
14,2015/6/30,2129029074,1394025681,735003393.3,-5222667.15
14,2015/12/31,2170514993,1397577978,772937015.4,51889412.13
14,2016/6/30,2143586607,1388474261,755112346.1,-23071004.65
14,2016/12/31,1873814393,1079227652,794586740.9,22875871.73
14,2017/6/30,1563302884,769872298.3,793430585.9,-2855031.07
14,2017/12/31,1528276983,728127339.7,800149643.6,-309596.68
14,2018/6/30,1650465155,851315311.7,799149843.3,-6056897.03
16,2014/6/30,15158666103,10841018341,4317647761,28983552.69
16,2014/12/31,16779359277,12481902772,4297456505,-149612758.1
16,2015/6/30,16132799097,12079059309,4053739788,-421920650.3
16,2015/12/31,14250367548,11174917131,3075450417,-1569225058
16,2016/6/30,14881788535,11923884981,2957903555,-140043696.5
16,2016/12/31,17243119598,13924620703,3318498895,-232239924.3
16,2017/6/30,20666059935,17317304586,3348755349,-89154010.57
16,2017/12/31,23558735470,15360545662,8198189807,6592163475
16,2018/6/30,28134003877,19506541296,8627462581,370020369.4
17,2014/6/30,71080200.32,61020360.26,10059840.06,-1728551.24
17,2014/12/31,51489647.55,37993541.48,13496106.07,-6727454.97
17,2015/6/30,56305899.3,42217216.37,14088682.93,788437.65
17,2015/12/31,45869094.97,32478863.65,13390231.32,-380520.72
17,2016/6/30,58478529.08,44569366.18,13909162.9,374245.97
17,2016/12/31,54088275.72,36806464.67,17281811.05,4213917.39
17,2017/6/30,48954777.06,33800231.82,15154545.24,-2407346.98
17,2017/12/31,73559961.28,54698990.76,18860970.52,1813317.84
17,2018/6/30,70833599.3,51480712.37,19352886.93,683064.11
18,2014/6/30,195275060,69692489,125582571,740248
18,2014/12/31,184418905,54894362,129524543,3433977
18,2015/6/30,173233623,44281815,128951808,-608576
18,2015/12/31,4017462825,2736919161,1280543664,431436692
18,2016/6/30,5781742090,4269651705,1512090385,213063051.2
18,2016/12/31,7986178962,6155696089,1830482873,556497654.1
18,2017/6/30,9516720435,7493699671,2023020763,331347066.4
18,2017/12/31,11667845186,9407678316,2260166870,507863179.1
18,2018/6/30,11025565646,8704276401,2321289245,-16728436.26
19,2014/6/30,1402346193,450026541,952319652.3,-25936967.05
19,2014/12/31,1154612268,160973937.5,993638330.1,11418243.44
19,2015/6/30,1107604723,105141586.7,1002463137,1336209.28
19,2015/12/31,1060458757,103320748.4,957138009.1,-48234424.41
19,2016/6/30,1047312328,111073157.5,936239171,-25809361.48
19,2016/12/31,1178543725,128805162.4,1049738563,94177768.53
19,2017/6/30,1121549159,114968643.6,1006580516,-21509006.38
19,2017/12/31,1070386221,107232890.3,963153330.3,-57180665.35
19,2018/6/30,1040484135,96556623.59,943927511.6,-18090617.03
20,2014/6/30,1187640333,912520746.3,275119586.4,1541546.15
20,2014/12/31,1162740985,881389715.2,281351269.7,4746535.78
